symbol,name,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,enterpriseValueMultiple,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,receivablesTurnover,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,% return on investment
ADSK,"Autodesk, Inc.",3.7052,6.4795,3.1917,95.24,5.771,25.3154,22.1622,4.274719674,0.684769776,1,0.04942522,0.888078427,0.038279746,0.033844897,0.315230224,0.0746,0.0394,0.0552,0.684769776,1,0.04942522,5.771,7.0061,0,16.86712598,0.700269696,1.96,1.815340909,1.191335227,0,59.0833,0,14.4407,0,0,0,0,0,0,0,1.660807601,1.0791,0.9405,3.6672,0,5.771,0.144015872,0.871555916,0,0,7.785488959,7.785488959,0,-0.2739,-0.6646,-0.7317,-0.6841,-0.6914,-0.6875,0.0142,0.0087,0,-0.5844,-0.5827,0.0787,0.0654,-0.0206,0.0921,-0.0808,-0.2442,0.2011,-0.236,-0.4133,0.0995,0.1768,0.1006,-1,-1,0,-0.1235,0,0.0109,0.1086,-1,-0.2059,-0.1598,175.3089386
AEE,Ameren Corp.,0.859,0.94275,0.90665,29.3287,6.42115,21.01955,3.53755,4.283874813,0.473937025,0.566484063,0.164661066,0.299124688,0.159192493,0.051986417,0.526062975,0.02005,0.04795,0.0343,0.473937025,0.566484063,0.164661066,6.42115,2.40975,9.52305,0.416497387,0.31294933,1.596,1.019752703,0.326097677,-52.6538,55.4377,0,33.30605,0,0.3368,1.0201,0.494415059,0.504934941,2.39595,0.238263675,3.029291773,8.27935,1.9735,2.55215,1.6045,6.42115,0.257179149,0.250496467,0.238263675,6.540389151,1.394171673,1.09254062,1.599884798,0.0495,-0.13995,-0.15675,-0.38065,-0.41305,-0.41305,0.06625,0.06625,-0.19685,0.10875,2.15015,0.01805,0.011,-0.0272,0.02435,0.0627,0.1271,-0.0806,-0.1426,-0.2027,0.0402,0.01585,0.01725,-0.0488,-0.0952,-0.1536,-0.0484,-0.0836,0.0187,-0.0082,-0.0227,0,0,109.5530678
AEP,"American Electric Power Co., Inc.",1.26715,1.27445,1.21485,12.98735,11.2274,27.2048,6.60285,3.559500612,0.678292486,0.657807931,0.206772611,0.311074465,0.195005552,0.092485336,0.321707514,0.0379,0.0963,0.03785,0.678292486,0.657807931,0.206772611,11.2274,2.8844,9.4001,0.398586825,0.282468031,0.8315,0.380597494,0.068545046,-59.33945,38.53175,0,29.08875,0,0.3622,1.33705,0.538778652,0.57211477,2.9238,0.143521811,3.691693433,5.4745,-0.015,0.8408,0.615,11.2274,0.183998992,-0.004498706,0.143521811,1.164146334,1.010821277,0.76859786,0.618050441,0.0366,-0.02135,-0.02235,-0.06215,-0.14115,-0.1399,0.09295,0.091,0.02135,0.01725,1.37,-0.0537,-0.023,-0.03175,0.02695,-0.00885,-0.0528,0.058,0.0272,0.0135,0.00935,0.0497,0.0512,-0.03535,0.03505,0.02845,0.4082,0.1439,0.05715,0.03455,0.00575,0,0,106.1146474
AES,The AES Corp.,1.69175,2.55975,0.6497,615.7222,6.5841,4.15545,3.39455,5.555797855,0.278256976,0.373775616,0.168464988,0.251712669,0.198707938,0.025386741,0.721743024,0.01285,0.07105,0.0657,0.278256976,0.373775616,0.168464988,6.5841,1.965,25.7304,0.605036656,0.356405006,1.249,0.88115212,0.34689446,-19.14615,56.7978,0,49.4138,0,0.479,3.54075,0.749722601,0.775334561,1.62355,0.148798056,7.357571352,3.8543,0.5015,3.49775,0.4265,6.5841,0.196511694,0.096788783,0.148798056,1.150475997,1.188690476,1.188690476,0,0.0394,-0.26235,0.002,-0.72655,-0.72595,-0.72565,0.0943,0,-0.5,0.2954,2.64505,0.0539,0.06185,0.0226,0.14245,0.0639,0.02785,-0.1909,-0.2083,0.19195,-0.01435,0.31885,0.18115,0,0,0,0.0441,0.00475,0.0803,0.21845,0.03305,0,0.0373,-25.14882618
AFL,"Aflac, Inc.",2.4816,2.4816,1.2341,12.89255,25.3884,3.64475,3.65875,0.789316764,0.661773802,0.964314456,0.152666837,0.398295556,0.152666837,0.097149801,0.338226198,0,0.19425,0,0.661773802,0.964314456,0.152666837,25.3884,9.92905,0,32.11058587,0.211111871,0,0,0,0,13.457,0,6.5103,0,0.0305,0.2918,0,0,28.4705,0,9.56561749,7.02655,7.0265,2.37525,0.2895,25.3884,0.337313388,1,0,0,0,12.41059249,0.289922198,0.19455,0.3977,0.3977,0.37445,0.37825,0.37995,-0.0046,-0.0059,0.0923,0.18765,0.18765,0.0921,0.08705,0.10885,0.09465,0.09665,0.15095,0.12975,0.08025,0.0818,0.09905,0.06075,0.05845,0.2201,0.2255,0.1964,-0.1522,0,0.13075,0.29655,0.33955,0,0.09395,30.05303244
AGN,Allergan Plc,1.68725,26.12235,1.6599,26.4889,6.70405,12.52325,11.2463,2.205036409,0.672431547,0.831681895,0.118106417,0.433997275,0.111535668,0.065590989,0.327568453,0.1353,0.0648,0.04505,0.672431547,0.831681895,0.118106417,6.70405,1.49205,5.09205,4.788330103,0.550177841,1.95,0.878421222,0.271096956,-136.74565,62.5063,0,78.05785,0,0.2128,0.3959,0.256016258,0.280879857,7.7976,0.410212117,1.842809101,4.1268,3.6575,2.1143,0,6.70405,0.147495843,0.883269193,0.410212117,0.612483745,8.892265858,8.892265858,0,0.23475,-0.06355,-0.0664,-0.1191,-0.18745,-0.15355,0.09355,0.028,0,0.20995,0.25635,0.13915,0.12645,0.08545,0.0533,0.0671,-0.022,0.0051,0.0584,0.01505,0.08075,0.0653,0.172,0,0,0,0.39025,0.1874,0.2842,0.1674,0.1788,0.33035,0.34105,775.2119352
AIG,"American International Group, Inc.",0.07605,0.07885,0.0802,1.92325,2.2334,0.34625,0.3432,0.183377515,0.294938713,-2.880742826,0.176072555,0.353564605,0.186342187,-0.003508707,0.205061287,0,-0.01945,0,0.294938713,-2.880742826,0.176072555,2.2334,6.48175,0,1.727695321,0.097788002,0,0,0,0,128.5747,0,0,0,0.16405,1.66945,0,0,1.8314,0,10.07466046,129.42105,129.421,21.9605,0,2.2334,0.237104298,1,0,0,0,0,0,0.74955,6.2064,265.61795,1.02215,1.02305,1.02305,0.01835,0.0186,-0.5,76.6105,8.56185,0.0374,-0.07195,-0.13245,0.04635,-0.08525,0.1013,0.0188,-0.00905,0.07675,0.06425,-0.0229,-0.09205,-1,-1,-1,-0.43265,0,-0.1043,0.24995,-0.27255,0,-0.1767,586.8938922
AIV,Apartment Investment & Management Co.,2.1191,2.1191,2.3918,0,12.10635,5.9969,9.55725,0.460224267,0,-0.434824687,0.199548054,0.546427779,0.093197838,-0.068089034,0,0,-0.0602,0,0,-0.434824687,0.199548054,12.10635,4.557,0,0.155938349,0.131210363,0,0,0,0,24.0485,0,10.39635,0,0.6976,4.6867,0,0,0.6974,0,6.715714716,2.1956,4.9675,2.7287,-0.3385,12.10635,0.245902115,2.307850418,0,0,0,18.16706646,0,-0.0874,-0.39865,0.5994,-0.70905,-0.66645,-0.66645,0.15345,0.15345,-0.5983,-0.1839,-0.58155,-0.0301,-0.08705,-0.0607,-0.08015,-0.10575,-0.2098,0,0,0,-0.1229,-0.19855,-0.17225,-0.1839,-0.33525,-0.51935,-0.37855,0,-0.1147,-0.2057,-0.07585,0,-0.1765,125.6058773
AIZ,"Assurant, Inc.",0.78465,0.9723,0.43855,11.6812,1.7688,12.41965,10.1734,1.470456654,0.533071847,0.915167131,0.08338273,0.564527981,0.08338273,0.041079578,0.466928153,0,0.0735,0,0.533071847,0.915167131,0.08338273,1.7688,0.42315,0,31.7543847,0.329746937,0,0,0,0,217.9839,0,214.8319,0,0.0372,0.20185,0,0,11.84855,0,5.425147548,3.58725,3.127,10.78505,0.206,1.7688,0.047216988,0.852346809,0,0,7.802822696,3.333688442,0.20575713,0.0335,0.05005,0.05005,-0.1957,-0.17325,-0.17295,-0.0312,-0.03165,0.0802,0.13675,0.2504,0,0.06745,0.0403,0,-0.1164,-0.2663,0,0.00515,-0.18145,0,0.09515,0.0952,0,0.19095,0.1342,0.10835,0,0.0378,0.1795,0.0001,0,0.04925,30.09605875
AJG,Arthur J. Gallagher & Co.,2.6759,0,1.48935,17.552,2.42875,13.6352,12.1333,4.042344231,0.71838565,0.869741762,0.134599234,0.791936435,0.133491755,0.083878309,0.28161435,0.82725,0.15065,0.1355,0.71838565,0.869741762,0.134599234,2.42875,0.3618,0,23.011208,0.52522627,1.069,0.989366926,0.516338939,0,146.64165,0,245.50635,0,0.16105,0.5565,0.356581034,0.356581034,7.71415,0.400909091,3.444730496,2.1213,1.8875,7.58495,0.8855,2.42875,0.122706465,0.889760349,0.400909091,0,9.071713147,1.42199913,0.880678727,0.0706,0.2718,0.11615,0.5087,0.41955,0.42895,0.05645,0,0,0.201,0.27455,0.0569,0.025,0.0242,0.02565,-0.02685,0.08955,0.02225,0.1463,0.01185,0.09765,0.03265,0.05465,0.11555,0.03885,0.01615,-0.0397,0,0.05,0.15925,0.0169,0,0.05895,264.6297015
AKAM,"Akamai Technologies, Inc.",3.22645,4.36865,6.7148,39.1585,6.0308,26.67305,15.77175,0.534661201,0.633824729,0.990873991,0.268605107,0.706442928,0.254173446,0.168492867,0.366175271,0.20675,0.08125,0.0998,0.633824729,0.990873991,0.268605107,6.0308,10.92835,0,4.356528221,0.423469208,4.12,3.796037729,1.075682768,0,64.0128,0,9.79625,0,0.04785,0.05745,0,0.051523696,120.08555,1.062331356,1.140498167,2.3728,1.5165,1.18265,0,6.0308,0.443407022,0.634328292,1.062331356,1.062331356,3.012663893,3.012663893,0,0.127,0.0557,0.0953,0.08935,0.0591,0.07055,0.02835,0.0106,0,0.09195,0.02605,0.3139,0.23495,0.17975,0,0.36645,0.29285,0,0.0427,0.24005,-0.03425,0.10895,0.1598,0,0,0,0.1209,0,0.1184,0.14745,-0.50025,0.18345,0.1478,29.26152696
ALB,Albemarle Corp.,3.1851,4.7157,1.91225,17.38635,6.4093,16.86,12.3587,3.14707361,0.911774597,0.907507293,0.139646938,0.277640579,0.131502535,0.111295914,0.088225403,0.13165,0.18545,0.0869,0.911774597,0.907507293,0.139646938,6.4093,3.16575,5.46965,2.150417894,0.746836796,3.312,2.144596205,1.164241762,-85.50465,58.8988,0,29.02805,0,0.2869,0.64105,0.38366825,0.390371277,12.387,0.412990852,2.23266511,3.77145,2.718,4.5848,0.209,6.4093,0.159500637,0.722607514,0.412990852,23.37788917,3.723943136,2.432854064,0.203155762,0.1648,0.52875,0.50045,0.34445,0.3471,0.3481,-0.00145,-0.003,0.08085,0.01,0.06665,0.0948,0.03185,-0.0124,0.0816,0.12975,0.05755,0.09755,0.2348,0.10845,0.09735,0.09045,0.0582,0.09455,0.1196,0.11615,0.0712,-0.11755,0.0359,0.1545,-0.03445,-0.06805,0.06245,184.5338289
ALGN,"Align Technology, Inc.",4.407,4.47075,4.0501,9.9694,6.1487,15.83635,14.70155,1.268037422,0.363974589,0.5,0.077622206,0.76567099,0.077639447,0.045845734,0.136025411,0.0375,0.04105,0.2751,0.363974589,0.5,0.077622206,6.1487,14.08955,162.2103,12.56218595,0.845449383,3.698,3.466077815,2.609281736,-10.2824,62.71185,0,7.23915,0,0,0,0,0,-198.8706,0,1.281836446,1.39085,1.2195,3.14785,0,6.1487,0.286023109,0.881911343,0,0,8.747918024,8.747918024,0,0.16835,0.52,0.2699,0.9919,0.9014,0.86485,0.0658,0.08215,0,0.80625,1.1404,0.3111,0.09075,0.08965,0,0.3342,0.14775,0,0.5597,0.11285,0,0.2471,0.3583,0,0,0,0.1206,0.1423,0.30715,0.2344,0,0.00935,0.0047,1107.782285
